prenom,nom,titre_livre,nbpages,isbn,publisher_name
Anya,Seton,My Theodosia,314,N/A,Houghton Mifflin Harcourt
Anya,Seton,Green Darkness,480,"ISBN 0-340-15979-0 (first edition, hardback)",Hodder & Stoughton
Anya,Seton,Dragonwyck (novel),255,978-1-55652-581-0,Houghton Mifflin Harcourt
Anya,Seton,The Turquoise,374,NA,Houghton Mifflin Harcourt
Dr.,Seuss,How the Grinch Stole Christmas!,69,0-394-80079-6,Random House
Dr.,Seuss,Mr. Brown Can Moo! Can You?,24,978-0679882824,Random House
Dr.,Seuss,The Lorax,45,0-394-82337-0,Random House
Dr.,Seuss,My Many Colored Days,40,0-679-87597-2,Alfred A. Knopf
Dr.,Seuss,I Am NOT Going to Get Up Today!,48,978-0394892177,Random House
Dr.,Seuss,Bartholomew and the Oobleck,48,0-394-80075-3,Random House
Dr.,Seuss,I Can Read with My Eyes Shut!,48,978-0394839127,Random House
Dr.,Seuss,Did I Ever Tell You How Lucky You Are?,64,978-0394827193,Random House
Dr.,Seuss,"Oh, the Thinks You Can Think!",24,978-0375857942,Random House
Dr.,Seuss,Scrambled Eggs Super!,64,978-0-394-80085-1,Random House
Dr.,Seuss,The Cat's Quizzer,72,978-0394832968,Random House
Dr.,Seuss,The Shape of Me and Other Stuff,36,978-0394826875,Random House
Dr.,Seuss,Thidwick the Big-Hearted Moose,41,0-394-90086-3,Random House
Dr.,Seuss,Hunches in Bunches,48,978-0394855028,Random House
Dr.,Seuss,If I Ran the Zoo,39,978-0-394-80081-3,Random House
Dr.,Seuss,My Book about ME,72,978-0394800936,Random House
Dr.,Seuss,McElligot's Pool,64,978-0-394-80083-7,Random House
Jeffrey,Shaara,The Glorious Cause,680,0-345-42758-0,Ballantine Books
Jeffrey,Shaara,Gods and Generals (novel),512,0-345-40492-0,Ballantine Books
Jeffrey,Shaara,Rise to Rebellion,512,978-0-345-42753-3,Ballantine Books
Jeffrey,Shaara,To the Last Man (Shaara novel),636,ISBN 0-345-46134-7 (first edition hardcover),Ballantine Books
David,Shafer,Whiskey Tango Foxtrot (novel),425,978-0-316-25263-8,"Little, Brown and Company"
Wendy,Shalit,Girls Gone Mild,316,1-4000-6473-2,Random House
Wendy,Shalit,The Good Girl Revolution,316,0812975367,Random House
Irwin,Shaw,The Young Lions,689,978-7-544-24234-9,Random House
Irwin,Shaw,"Rich Man, Poor Man",629,0-385-28858-1,Dell Publishing
Irwin,Shaw,"Beggarman, Thief",512,0-440-10701-6,Dell Publishing
Michael,Shea,Polyphemus (book),245,0-87054-155-2,Arkham House
Robert,Sheckley,Options (novel),158,978-0-515-03688-6,Jove Books
Robert,Sheckley,Untouched by Human Hands,169,978-1-345-00437-3,Ballantine Books
Robert,Sheckley,Bring Me the Head of Prince Charming,286,0-553-35448-5,Bantam Spectra
Sidney,Sheldon,Sidney Sheldon's Mistress of the Game,336,0-06-172838-1,William Morrow and Company
Sidney,Sheldon,If Tomorrow Comes (novel),416,0-446-35742-1,Grand Central Publishing
Sidney,Sheldon,Nothing Lasts Forever (Sheldon novel),398,0-688-08491-5,William Morrow and Company
Sidney,Sheldon,The Sands of Time (Sheldon novel),412,978-0-446-35683-1,William Morrow (publisher)
Sidney,Sheldon,Tell Me Your Dreams,363,0-446-60720-7,William Morrow (publisher)
Sidney,Sheldon,The Doomsday Conspiracy,412,0-688-08489-3,William Morrow (publisher)
Sidney,Sheldon,Windmills of the Gods,384,0-688-06570-8,William Morrow and Company
Sidney,Sheldon,A Stranger in the Mirror,322,ISBN 0-688-03196-X,William Morrow and Company
Sidney,Sheldon,Are You Afraid of the Dark? (novel),337,ISBN 0-06-055934-9,William Morrow (publisher)
Sidney,Sheldon,The Naked Face,320,0-446-34191-6,William Morrow (publisher)
Sidney,Sheldon,The Other Side of Midnight,598,0-446-35740-5,William Morrow (publisher)
Sidney,Sheldon,Sidney Sheldon's After the Darkness,352,0-06-172830-6,William Morrow and Company
Sidney,Sheldon,The Sky Is Falling (Sheldon novel),416,0-446-61017-8,William Morrow (publisher)
Sidney,Sheldon,The Best Laid Plans,384,0-688-14911-1,William Morrow (publisher)
Sidney,Sheldon,"Morning, Noon and Night (novel)",375,0-446-60221-3,William Morrow (publisher)
Carol Ann,Shields,The Stone Diaries,361,0-394-22362-4,Random House
Carol Ann,Shields,Larry's Party,339,ISBN 0-679-30877-6 (hardback first edition),Alfred A. Knopf
Carol Ann,Shields,Unless,224,978-0-00-714107-4,HarperCollins
David,Shields,Salinger (book),698,978-1476744858,Simon & Schuster
Randy,Shilts,And the Band Played On,630,ISBN 0-312-00994-1,St. Martin's Press
Sharon,Shinn,General Winston's Daughter,352,0-670-06248-0,Dutton Children's Books
Sharon,Shinn,The Truth-Teller's Tale,256,0-670-06000-3,Viking Press
Sharon,Shinn,Heart of Gold (novel),341,0-441-00821-6,Ace Books
Sharon,Shinn,The Alleluia Files,448,978-0-441-00620-5,Ace Books
Lionel,Shriver,The Post-Birthday World,600,0-00-724341-3,HarperCollins
Neal,Shusterman,Everlost,377,ISBN 1-84738-504-4,Simon & Schuster
Neal,Shusterman,Everfound (novel),512,ISBN 9781416990499,Simon & Schuster
Neal,Shusterman,The Schwa Was Here,228,978-0-525-47182-0,Dutton Penguin
Neal,Shusterman,Full Tilt (novel),201,978-0-689-80374-1,Simon & Schuster
Neal,Shusterman,Everwild,432,ISBN 1-84738-732-2,Simon & Schuster
Anne Rivers,Siddons,Peachtree Road (novel),832,9780061132971,Harper (publisher)
Hampton,Sides,Ghost Soldiers,343,9781299076518,Random House
Leslie,Silko,Ceremony (Silko novel),262,0-14-008683-8,Penguin Books
Leslie,Silko,Almanac of the Dead,763,ISBN 0-671-66608-8,Simon & Schuster
Robert,Silverberg,Revolt on Alpha C,148,NA,Thomas Y. Crowell Co.
Robert,Silverberg,The World Inside,201,0-385-03621-3,Doubleday (publisher)
Robert,Silverberg,A Time of Changes,183,978-0586039953,Doubleday (publisher)
Robert,Silverberg,Downward to the Earth,180,978-0-451-04497-6,Doubleday (publisher)
Robert,Silverberg,Gilgamesh the King,320,0-87795-599-9,Arbor House
Robert,Silverberg,The Man in the Maze (novel),192,NA,Sidgwick & Jackson
Robert,Silverberg,Tower of Glass,247,0-684-10544-6,Charles Scribner's Sons
Robert,Silverberg,The Book of Skulls,222,0-684-12590-0,Charles Scribner's Sons
Robert,Silverberg,The Ugly Little Boy,290,0-385-26343-0,Doubleday (publisher)
Robert,Silverberg,Hawksbill Station,166,NA,Doubleday (publisher)
Robert,Silverberg,Roma Eterna,416,0-380-97859-8,HarperCollins
Robert,Silverberg,Alpha 9,180,0-425-03838-6,Berkley Books
Robert,Silverberg,To Live Again (novel),231,NA,Doubleday (publisher)
Robert,Silverberg,The Dawning Light,191,NA,Gnome Press
Robert,Silverberg,Dying Inside,245,0-684-13083-1,Charles Scribner's Sons
Robert,Silverberg,The Face of the Waters,363,0-246-13718-5,Grafton (publisher)
Robert,Silverberg,The Shrouded Planet,186,NA,Gnome Press
Robert,Silverberg,Starborne,291,0-553-10264-8,Bantam Spectra
Robert,Silverberg,The Second Trip,192,NA,Doubleday (publisher)
Sheldon Allan,Silverstein,A Light in the Attic,169,0-06-025673-7,Harper (publisher)
Clifford D.,Simak,City (novel),224,NA,Gnome Press
Clifford D.,Simak,Cosmic Engineers,224,NA,Gnome Press
Clifford D.,Simak,The Werewolf Principle,216,NA,G. P. Putnam's Sons
Daniel,Simmons,Song of Kali,311,978-0747200338,James Frenkel
Daniel,Simmons,The Fall of Hyperion (novel),517,ISBN 0-385-24950-0 (First edition),Doubleday (publisher)
Daniel,Simmons,Carrion Comfort,636,978-0913165379,Dark Harvest
Daniel,Simmons,The Hollow Man (Simmons novel),293,978-0553082524,Bantam Books
Daniel,Simmons,The Terror (novel),784,978-0-316-01744-2,"Little, Brown and Company"
Daniel,Simmons,Ilium (novel),731,0-380-97893-8,HarperCollins
Daniel,Simmons,Drood (novel),777,978-0-316-00702-3,"Little, Brown and Company"
Daniel,Simmons,A Winter Haunting,320,ISBN 0-380-97886-5,William Morrow and Company
Daniel,Simmons,Prayers to Broken Stones,403,ISBN 0-553-29665-5 (Bantam),Bantam Books
Daniel,Simmons,Olympos (novel),690,0-380-97894-6,HarperCollins
Daniel,Simmons,The Crook Factory,448,978-0380973682,William Morrow and Company
Daniel,Simmons,Fires of Eden,399,978-0399139222,G. P. Putnam's Sons
Daniel,Simmons,The Rise of Endymion,579,ISBN 0-553-10652-X,Bantam Books
Daniel,Simmons,Endymion (Simmons novel),441,"ISBN 0-7472-0525-6 (first edition, hardback)",Headline Publishing Group
Daniel,Simmons,Hyperion (Simmons novel),482,ISBN 0-385-24949-7 (1st ed. hardcover),Doubleday (publisher)
Daniel,Simmons,Muse of Fire,100,"978-1596061811 (first edition, hardback)",Subterranean Press
David,Simon,Homicide: A Year on the Killing Streets,599,ISBN 0-395-48829-X,Houghton Mifflin Harcourt
Francesca,Simon,Horrid Henry (book),96,978-1-85881-070-6,Orion Publishing Group
John,Sladek,Tik-Tok (novel),184,0-575-03336-3,Victor Gollancz Ltd
John,Sladek,Keep the Giraffe Burning,205,0-586-04757-3,Panther Books
John,Sladek,The Steam-Driven Boy and other Strangers,189,058038019,Panther Books
John,Sladek,Black Alice (novel),235,ISBN 0-11-257522-6 (hardcover reprint edition) & ISBN 2-86930-645-8 (paperback reprint edition),Doubleday (publisher)
John,Sladek,The Müller-Fokker Effect,214,0-09-102480-3,Hutchinson (publisher)
William,Sleator,Interstellar Pig,196,0-14-037595-3,Bantam Books
William,Sleator,Marco's Millions,160,978-0-525-46441-9,Dutton Children's Books
Carmen Giménez,Smith,"My Mother She Killed Me, My Father He Ate Me",608,978-0-14-311784-1,Penguin Books
Clark Ashton,Smith,The Black Book of Clark Ashton Smith,141,0-87054-087-4,Arkham House
Clark Ashton,Smith,Selected Poems (C. A. Smith),403,NA,Arkham House
Clark Ashton,Smith,Other Dimensions,329,NA,Arkham House
Clark Ashton,Smith,A Rendezvous in Averoigne,472,0-87054-156-0,Arkham House
Clark Ashton,Smith,Selected Letters of Clark Ashton Smith,417,ISBN 0-87054-182-X,Arkham House
Clark Ashton,Smith,Hyperborea (collection),203,0-345-02206-8,Ballantine Books
Clark Ashton,Smith,Poseidonis (collection),210,0-345-03353-1,Ballantine Books
Clark Ashton,Smith,Spells and Philtres,54,NA,Arkham House
Clark Ashton,Smith,The Emperor of Dreams,580,ISBN 0-575-07373-X,Victor Gollancz Ltd
Clark Ashton,Smith,Men of Avalon / The White Sybil,40,NA,"Fantasy Publishing Company, Inc."
Clark Ashton,Smith,Genius Loci and Other Tales,228,NA,Arkham House
Clark Ashton,Smith,Out of Space and Time,370,NA,Arkham House
Clark Ashton,Smith,Poems in Prose,54,NA,Arkham House
Clark Ashton,Smith,Tales of Science and Sorcery,256,NA,Arkham House
Clark Ashton,Smith,The Abominations of Yondo,227,NA,Arkham House
Clark Ashton,Smith,The Dark Chateau,63,NA,Arkham House
Clark Ashton,Smith,Lost Worlds (book),419,NA,Arkham House
Doris Buchanan,Smith,A Taste of Blackberries,85,9780064402385,Thomas Y. Crowell Co.
L. Neil,Smith,Lando Calrissian and the Flamewind of Oseon,181,0-345-31163-9,Del Rey Books
L. Neil,Smith,Lando Calrissian and the Mindharp of Sharu,181,0-345-31158-2,Del Rey Books
L. Neil,Smith,Lando Calrissian and the Starcave of ThonBoka,181,0-345-31164-7,Del Rey Books
L.J.,Smith,The Initiation (novel),320,ISBN 0061067121,HarperCollins
L.J.,Smith,The Chosen (L.J. Smith novel),224,ISBN 0-671-55137-X,Simon & Schuster
Martin Cruz,Smith,Havana Bay (novel),329,0-679-42662-0,Random House
Martin Cruz,Smith,Gorky Park (novel),365,0-394-51748-2,Random House
Martin Cruz,Smith,Red Square (novel),432,0-00-271276-8,Random House
Martin Cruz,Smith,Polar Star (novel),384,0-345-36765-0,Random House
Martin Cruz,Smith,December 6 (novel),352,0-684-87253-6,Simon & Schuster
Patrick D.,Smith,A Land Remembered,403,0-910923-12-4,Pineapple Press
Roland,Smith,Cryptid Hunters,352,978-0786851614,Hyperion Books
Roland,Smith,Elephant Run,318,978-1-4231-0402-5,Hyperion Books
Raymond Merrill,Smullyan,To Mock a Mockingbird,256,0-19-280142-2,Alfred A. Knopf
Caroline Dale,Snedeker,Downright Dencey,314,1-883937-79-5,Doubleday (publisher)
Melinda M.,Snodgrass,The Tears of the Singers,252,"ISBN 0-671-69654-8 (first edition, paperback)",Pocket Books
Laurel,Snyder,Up and Down the Scratchy Mountains,256,978-0-375-84719-6,Random House
Zilpha Keatley,Snyder,The Witches of Worm,192,0-689-30066-2,Atheneum Books
Zilpha Keatley,Snyder,Below the Root (novel),231,0-689-30457-9,Atheneum Books
Zilpha Keatley,Snyder,The Headless Cupid,203,0-689-20687-9,Atheneum Books
Zilpha Keatley,Snyder,Song of the Gargoyle,232,0-385-30301-7,Dell Publishing
Zilpha Keatley,Snyder,And All Between,216,0-595-37030-6,Atheneum Books
Zilpha Keatley,Snyder,Until the Celebration,214,0-595-37029-2,Atheneum Books
Robert,Sobel,ITT: The Management of Opportunity,421,0812910281,Times Books
Robert,Sobel,For Want of a Nail (novel),441,1-85367-281-5,Macmillan Publishers
Rebecca,Solnit,River of Shadows,320,ISBN 0142004103,Vikings
Sonya,Sones,One of Those Hideous Books Where the Mother Dies,272,1-4169-0788-2,Simon & Schuster
Sonya,Sones,What My Mother Doesn't Know,272,978-0-689-85553-5,Simon & Schuster
Sonya,Sones,What My Girlfriend Doesn't Know,320,0-689-87603-3,Simon & Schuster
Andrew Ross,Sorkin,Too Big to Fail (book),624,978-0-670-02125-3,Viking Press
Nicholas,Sparks,The Last Song (novel),405,0-446-54756-5,Grand Central Publishing
Nicholas,Sparks,A Walk to Remember (novel),240,0-446-60895-5,Grand Central Publishing
Nicholas,Sparks,Nights in Rodanthe (novel),240,0-446-53133-2,Grand Central Publishing
Nicholas,Sparks,Safe Haven (novel),432,978-0446547574,Grand Central Publishing
Nicholas,Sparks,The Notebook (novel),224,0-446-52080-2,Grand Central Publishing
Nicholas,Sparks,Message in a Bottle (novel),352,0-446-52356-9,Grand Central Publishing
Nicholas,Sparks,The Lucky One (novel),336,0-446-57993-9,Grand Central Publishing
Nicholas,Sparks,The Choice (novel),288,"ISBN 978-0-446-57992-6 (first edition, hardback)",Grand Central Publishing
Nicholas,Sparks,The Longest Ride,568,978-1455520657,Grand Central Publishing
Elizabeth George,Speare,Calico Captive,274,NA,Houghton Mifflin Harcourt
Elizabeth George,Speare,The Bronze Bow,255,0-395-13719-5,Houghton Mifflin Harcourt
Elizabeth George,Speare,The Sign of the Beaver,135,0-395-33890-5,Houghton Mifflin Harcourt
Elizabeth George,Speare,The Witch of Blackbird Pond,249,NA & reissue ISBN 0-395-07114-3,Houghton Mifflin Harcourt
Armstrong,Sperry,Call It Courage,116,0-689-86229-6,Macmillan Publishers
Jerry,Spinelli,Milkweed (novel),208,978-03-7581374-0,HarperCollins
Jerry,Spinelli,Who Put That Hair in My Toothbrush?,220,0-316-80687-0,"Little, Brown and Company"
Jerry,Spinelli,Space Station Seventh Grade,232,0-316-80709-5,"Little, Brown and Company"
Jerry,Spinelli,Stargirl (novel),186,0-679-88637-0,Scholastic Corporation
Jerry,Spinelli,Loser (novel),218,0-06-054074-5,HarperCollins
Jerry,Spinelli,"Love, Stargirl",274,978-0-375-85644-0,Alfred A. Knopf
Jerry,Spinelli,Wringer (novel),228,0-06-059282-6,HarperCollins
Jerry,Spinelli,Eggs (novel),224,0-316-16646-4,"Little, Brown and Company"
Norman,Spinrad,The Iron Dream,255,ISBN 0-380-00200-0 (first Avon printing),Avon (publisher)
Norman,Spinrad,Child of Fortune,467,978-0-7653-0155-0,Bantam Books
Marc,Spitz,Bowie: A Biography,448,"ISBN 0-307-39396-8, ISBN 978-0-307-39396-8",Crown Publishing Group
Marc,Spitz,We Got the Neutron Bomb,296,"ISBN 0-609-80774-9, ISBN 978-0-609-80774-3",Three Rivers Press
Marc,Spitz,Nobody Likes You,224,"ISBN 1-4013-0274-2, ISBN 978-1-4013-0274-0",Hyperion Books
Marc,Spitz,"Jagger: Rebel, Rock Star, Rambler, Rogue",320,"ISBN 1-59240-655-6, ISBN 978-1-59240-655-5",Penguin Group
Marc,Spitz,How Soon Is Never,400,"ISBN 0-609-81040-5, ISBN 978-0-609-81040-8",Three Rivers Press
Marc,Spitz,"Too Much, Too Late",307,"ISBN 1-4000-8293-5, ISBN 978-1-4000-8293-3",Three Rivers Press
Frank,Stanford,The Battlefield Where The Moon Says I Love You,542,"ISBN 0-918786-13-4 (1st), ISBN 0-918786-50-9 (2nd)",Lost Roads Publishers
Richard Dean,Starr,Tales of Zorro,332,978-1-933076-31-7,Moonstone Books
Erin E.,Stead,A Sick Day for Amos McGee,32,978-1-59643-402-8,Macmillan Publishers
Rebecca,Stead,First Light (Rebecca Stead novel),336,ISBN 978-0-375-84017-3,Random House
Rebecca,Stead,When You Reach Me,208,ISBN 978-0-385-73742-5,Random House
John,Steakley,Armor (novel),432,ISBN 0-88677-368-7,DAW Books
Karrine,Steffans,Confessions of a Video Vixen,205,ISBN 978-0-06-084242-0,HarperCollins
William,Steig,Shrek!,32,978-0-374-36877-7,"Farrar, Straus and Giroux"
William,Steig,Doctor De Soto,32,0-374-41810-1,"Farrar, Straus and Giroux"
William,Steig,Abel's Island,128,978-0-374-30010-4,"Farrar, Straus and Giroux"
Gertrude,Stein,The Autobiography of Alice B. Toklas,310,n/a,Harcourt (publisher)
John Ernst,Steinbeck,Travels with Charley,288,0-14-005320-4,Viking Press
John Ernst,Steinbeck,The Winter of Our Discontent,311,NA,Viking Press
John Ernst,Steinbeck,Cannery Row (novel),208,N/A,Viking Press
Neal,Stephenson,Seveneves,880,0062190377,William Morrow (publisher)
Neal,Stephenson,Anathem,928,"ISBN 978-0-06-147409-5 (first edition, hardback), ISBN 0-06-147410-X (mass market paperback)",William Morrow and Company
Neal,Stephenson,The Confusion,815,0-06-052386-7,William Morrow and Company
Neal,Stephenson,Cryptonomicon,918,ISBN 0-380-97346-4,Avon (publisher)
Neal,Stephenson,Snow Crash,480,"ISBN 0-553-08853-X (first edition, hardback)",Bantam Books
Neal,Stephenson,The Diamond Age,455,"ISBN 0-553-09609-5 (hardcover), ISBN 0-553-38096-6 (paperback)",Bantam Spectra
Neal,Stephenson,The System of the World (novel),912,"ISBN 0-06-052387-5 (first edition, hardback)",William Morrow and Company
Bruce,Sterling,Islands in the Net,348,0-87795-952-8,Arbor House
Bruce,Sterling,The Difference Engine,383,0-575-04762-3,Victor Gollancz Ltd
Bruce,Sterling,Holy Fire (novel),294,0-553-09958-2,Bantam Books
Bruce,Sterling,Crystal Express,264,0-87054-158-7,Arkham House
Bruce,Sterling,The Caryatids,304,978-0-345-46062-2,Del Rey Books
Fred Mustard,Stewart,Century (novel),546,ISBN 0-451-11407-8 (paperback edition),New American Library
James B.,Stewart,Den of Thieves (Stewart book),592,0-671-79227-X,Simon & Schuster
James B.,Stewart,The Partners (book),395,0-671-42023-2,Simon & Schuster
James B.,Stewart,DisneyWar,608,0-684-80993-1,Simon & Schuster
Trenton Lee,Stewart,The Mysterious Benedict Society and the Perilous Journey,503,978-0-316-05780-6,"Little, Brown and Company"
Trenton Lee,Stewart,The Mysterious Benedict Society,485,978-0-316-05777-6,"Little, Brown and Company"
Trenton Lee,Stewart,The Extraordinary Education of Nicholas Benedict,470,978-0-316-17619-4,"Little, Brown and Company"
R. L.,Stine,A Night in Terror Tower,129,0-590-48351-X,Scholastic Corporation
R. L.,Stine,Creepy Creatures,144,ISBN 0-439-84124-0,Scholastic Corporation
R. L.,Stine,The Haunted Mask,121,ISBN 0-590-49446-5,Scholastic Corporation
R. L.,Stine,Dangerous Girls,247,ISBN 0-06-053080-4,HarperCollins
R. L.,Stine,One Day at HorrorLand,123,0-590-47738-2,Scholastic Corporation
R. L.,Stine,Nightmare Hour,148,0-06-028688-1,HarperCollins
R. L.,Stine,The Werewolf of Fever Swamp,123,ISBN 0-590-49449-X,Scholastic Corporation
R. L.,Stine,Red Rain (novel),384,ISBN 1-451-63612-1,Simon & Schuster
Kathryn,Stockett,The Help,464,0-399-15534-1,Penguin Books
Margaret,Stohl,Beautiful Redemption (novel),464,978-0-316-12353-2,"Little, Brown and Company"
Margaret,Stohl,Beautiful Creatures (novel),563,978-0-316-04267-3,"Little, Brown and Company"
Robert,Stone,Bay of Souls,249,0395963494,Houghton Mifflin Harcourt
Robert,Stone,Children of Light,258,0-394-52573-6,Alfred A. Knopf
Robert,Stone,Dog Soldiers (novel),342,0-395-18481-9,Houghton Mifflin Harcourt
Rex,Stout,Death Times Three,213,0-553-25425-1,Bantam Books
Rex,Stout,Please Pass the Guilt,150,0-670-55994-6,Viking Press
Rex,Stout,The President Vanishes,296,NA,Farrar & Rinehart
Rex,Stout,Mountain Cat,306,NA,Farrar & Rinehart
Rex,Stout,The Hand in the Glove,284,NA,Farrar & Rinehart
Todd,Strasser,The Wave (novel),143,0-440-99371-7,Dell Publishing
Todd,Strasser,Star Wars Episode I Journal: Anakin Skywalker,112,ISBN 0-590-52093-8,Scholastic Corporation
Gene,Stratton Porter,Freckles (novel),352,NA,Grosset & Dunlap
Peter,Straub,The General's Wife,128,ISBN 	0-937986-54-2,"Donald M. Grant, Publisher"
Peter,Straub,The Talisman (King and Straub novel),646,978-0-670-69199-9,Viking Press
Peter,Straub,Black House (novel),625,978-0-375-50439-6,Random House
Darin,Strauss,Chang & Eng (novel),336,978-0452281097,Penguin
Cheryl,Strayed,Wild: From Lost to Found on the Pacific Crest Trail,336,978-0307592736,Alfred A. Knopf
Cheryl,Strayed,Torch (book),336,978-0618472178,Houghton Mifflin Harcourt
Cheryl,Strayed,Tiny Beautiful Things,368,978-0307949332,Vintage Books
Whitley,Strieber,Warday,374,0-03-070731-5,Holt McDougal
Whitley,Strieber,The Wild (novel),378,0-8125-1277-4,Tor Books
Whitley,Strieber,The Wolfen,252,0688033474,William Morrow and Company
Whitley,Strieber,Communion (book),320,978-0-380-70388-3,Avon (publisher)
Elizabeth,Strout,Abide with Me (novel),304,ISBN 1-4000-6207-1,Random House
Elizabeth,Strout,Olive Kitteridge,288,ISBN 978-1-4000-6208-9,Random House
Theodore,Sturgeon,More Than Human,233,NA,"Farrar, Straus and Giroux"
John,Sunseri,The Spiraling Worm,320,1-56882-212-X,Chaosium
Jacqueline,Susann,The Love Machine (novel),512,"ISBN 0-553-10530-2 (first edition, hardback)",Simon & Schuster
Jacqueline,Susann,Yargo (novel),347,0-553-12855-8,Bantam Books
Michael,Swanwick,The Dragons of Babel,320,ISBN 0-7653-1950-0 (hardcover),Tor Books
Michael,Swanwick,Jack Faust (novel),337,ISBN 0-380-97444-4 (hardcover),Avon (publisher)
Michael,Swanwick,Stations of the Tide,252,0-688-10451-7,William Morrow and Company
Michael,Swanwick,Bones of the Earth,335,ISBN 0-380-97836-9 (1st edition),HarperCollins
Michael,Swanwick,The Periodic Table of Science Fiction,274,"ISBN 1-904619-01-0 (slipcase), ISBN 1-904619-00-2 (hardcover)",PS Publishing
Michael,Swanwick,Gravity's Angels,302,0-87054-162-5,Arkham House
Amy,Tan,The Joy Luck Club (novel),408,0-399-13420-4,G. P. Putnam's Sons
Amy,Tan,Saving Fish from Drowning,474,0-399-15301-2,G. P. Putnam's Sons
Amy,Tan,The Kitchen God's Wife,415,978-0-399-13578-1,G. P. Putnam's Sons
Booth,Tarkington,Penrod Jashber,321,NA,Doubleday (publisher)
Booth,Tarkington,Seventeen (Tarkington novel),329,NA,Harper (publisher)
Donna,Tartt,The Goldfinch (novel),784,9781408704950,"Little, Brown and Company"
Donna,Tartt,The Secret History,544,0-679-41032-5,Alfred A. Knopf
Donna,Tartt,The Little Friend,576,0-679-43938-2,Alfred A. Knopf
Janet,Tashjian,The Gospel According to Larry,227,9780141318349,Henry Holt and Company
Janet,Tashjian,Tru Confessions (novel),176,9780590960472,Henry Holt and Company
Bayard,Taylor,Joseph and His Friend: A Story of Pennsylvania,361,NA,G. P. Putnam's Sons
D. Mildred,Taylor,"Roll of Thunder, Hear My Cry",276,0-590-98207-9,Penguin Group
D. Mildred,Taylor,Let the Circle Be Unbroken,394,ISBN,Penguin Group
D. Mildred,Taylor,The Road to Memphis (novel),304,ISBN 0-14-036077-8 ISBN 978-0140360776,Penguin Books
Laini,Taylor,Days of Blood and Starlight,513,978-0-316-13397-5,"Little, Brown and Company"
Laini,Taylor,Daughter of Smoke and Bone,432,978-0-316-13402-6,"Little, Brown and Company"
Theodore,Taylor,The Cay,105,ISBN 0-380-01003-8,Avon (publisher)
Michelle,Tea,Valencia (novel),216,ISBN 1-58005-238-X,Perseus Books Group
Peter,Telep,Search and Destroy (novel),768,978-0-399-16044-8,Penguin Group
Peter,Telep,Against All Enemies (novel),768,978-0-399-15730-1,Penguin Group
Studs,Terkel,The Good War,589,0-394-53103-5,Pantheon Books
Studs,Terkel,Hard Times: An Oral History of the Great Depression,480,978-1-56584-656-2,Pantheon Books
Walter Stone,Tevis,The Queen's Gambit (novel),243,1-4000-3060-9,Random House
Walter Stone,Tevis,Mockingbird (Tevis novel),247,0-385-14933-6,Doubleday (publisher)
Paul,Theroux,The Happy Isles of Oceania,528,978-0-399-13726-6,G. P. Putnam's Sons
Paul,Theroux,The Family Arsenal,309,0-395-24400-5,Houghton Mifflin Harcourt
Michael,Thomas,Man Gone Down,431,0-8021-7029-3,Grove Press
Milt,Thomas,Cave of a Thousand Tales,287,0-87054-183-8,Arkham House
Rob,Thomas,Green Thumb,186,0-689-82886-1,Simon & Schuster
Rob,Thomas,Rats Saw God,202,0-689-80777-5,Simon & Schuster
Hunter Stockton,Thompson,Fear and Loathing in Las Vegas,204,0-679-78589-2,Random House
Hunter Stockton,Thompson,Hell's Angels: The Strange and Terrible Saga of the Outlaw Motorcycle Gangs,278,0-394-42819-6,Random House
Hunter Stockton,Thompson,Fear and Loathing in America,784,ISBN 0-684-87315-X,Simon & Schuster
Hunter Stockton,Thompson,Songs of the Doomed,320,0-330-32179-X,Simon & Schuster
Hunter Stockton,Thompson,Fear and Loathing on the Campaign Trail '72,506,978-0-87932-053-9,Straight Arrow Press
Hunter Stockton,Thompson,Generation of Swine,304,978-0-671-66147-2,Simon & Schuster
Jason,Thompson,Manga: The Complete Guide,592,978-0-345-48590-8,Del Rey Books
Brad,Thor,The Last Patriot,352,978-1-416-54383-1,Simon & Schuster
Brad,Thor,The First Commandment (novel),451,978-1416543794,Pocket Books
Roderick,Thorp,The Detective (novel),598,ISBN 0-8488-0375-2,Dial Press
James Grover,Thurber,The Wonderful O,72,ASIN B000NP675Y,Simon & Schuster
James Grover,Thurber,The 13 Clocks,124,0-671-72100-3,Simon & Schuster
Cate,Tiernan,Witch & Wizard,307,0316036242,"Little, Brown and Company"
Richard L.,Tierney,Collected Poems (Richard L. Tierney),82,0-87054-092-0,Arkham House
Richard L.,Tierney,The House of the Toad,248,1-878252-03-8,Fedogan & Bremer
Stephanie S.,Tolan,Surviving the Applewhites,216,0-06-623602-9,HarperCollins
Justin,Torres,We the Animals,144,978-0-547-57672-5,Houghton Mifflin Harcourt
Nick,Tosches,Where Dead Voices Gather,352,0-316-89507-5,"Little, Brown and Company"
Nick,Tosches,King of the Jews (Nick Tosches book),336,0-06-621118-2,HarperCollins
Nick,Tosches,In the Hand of Dante,377,0-316-89524-5,"Little, Brown and Company"
Nick,Tosches,Power on Earth,290,0-670-74990-7,Arbor House
Nick,Tosches,The Devil and Sonny Liston,272,0-316-89775-2,"Little, Brown and Company"
Nick,Tosches,Cut Numbers,233,0-517-56870-5,Harmony Books
Nick,Tosches,Dino (biography),572,0-385-26216-7,Doubleday (publisher)
